Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-05-18,204.440002,206.300003,203.630005,204.910004,179.605484,120062100,665
2016-05-19,204.059998,204.539993,202.779999,204.199997,178.983185,115430500,666
2016-05-20,204.919998,206.100006,204.860001,205.490005,180.113892,104990400,667
2016-05-23,205.509995,205.839996,204.990005,205.210007,179.868454,58682600,668
2016-05-24,206.169998,208.240005,206.139999,207.869995,182.199982,93537800,669
2016-05-25,208.669998,209.770004,207.869995,209.279999,183.435852,76621400,670
2016-05-26,209.440002,209.710007,208.970001,209.339996,183.488419,55280700,671
2016-05-27,209.529999,210.25,209.470001,210.240005,184.277298,64211200,672
2016-05-31,210.559998,210.690002,209.179993,209.839996,183.926712,109879400,673
2016-06-01,209.119995,210.479996,208.889999,210.270004,184.303604,69936200,674
2016-06-02,209.800003,210.929993,209.240005,210.910004,184.864563,63044700,675
2016-06-03,210.25,210.690002,208.860001,210.279999,184.312332,101757100,676
2016-06-06,210.699997,211.770004,210.509995,211.350006,185.250244,64887000,677
2016-06-07,211.529999,212.339996,211.5,211.679993,185.539474,60974800,678
2016-06-08,211.839996,212.520004,211.690002,212.369995,186.144257,66170900,679
2016-06-09,211.509995,212.220001,211.190002,212.080002,185.890045,73786900,680
2016-06-10,210.460007,210.860001,209.429993,210.070007,184.128281,113829200,681
2016-06-13,209.360001,210.369995,208.350006,208.449997,182.708405,117751200,682
2016-06-14,208,208.740005,206.919998,208.039993,182.348999,125059300,683
2016-06-15,208.039993,209.360001,207.529999,207.75,182.094788,109124500,684
2016-06-16,207.75,208.570007,205.589996,208.369995,182.638229,149533100,685
2016-06-17,207.169998,207.199997,205.75,206.520004,181.958069,117055700,686
2016-06-20,208.820007,209.610001,207.75,207.850006,183.129883,82789600,687
2016-06-21,208.300003,208.919998,207.779999,208.440002,183.649734,72461700,688
2016-06-22,208.649994,209.5,207.929993,208.100006,183.350098,95560500,689
2016-06-23,209.809998,210.869995,209.270004,210.809998,185.737823,102731400,690
2016-06-24,203.630005,210.850006,202.720001,203.240005,179.068192,333444400,691
2016-06-27,201.589996,201.600006,198.649994,199.600006,175.861115,230775800,692
2016-06-28,201.479996,203.229996,201.119995,203.199997,179.032913,159382400,693
2016-06-29,204.839996,206.929993,204.720001,206.660004,182.081406,137328600,694
2016-06-30,207.210007,209.539993,206.559998,209.479996,184.565979,165021900,695
2016-07-01,209.479996,210.490005,209.289993,209.919998,184.953674,106055300,696
2016-07-05,208.949997,209.080002,207.710007,208.410004,183.62326,109803700,697
2016-07-06,207.830002,209.800003,207.059998,209.660004,184.724564,96021500,698
2016-07-07,209.869995,210.649994,208.630005,209.529999,184.610062,85593800,699
2016-07-08,211.050003,212.940002,210.779999,212.649994,187.359009,133971000,700
2016-07-11,213.190002,214.070007,212.949997,213.399994,188.019775,73633900,701
2016-07-12,214.529999,215.300003,213.429993,214.949997,189.385422,101275600,702
2016-07-13,215.440002,215.449997,214.350006,214.919998,189.358994,87324100,703
2016-07-14,216.399994,216.669998,215.660004,216.119995,190.41626,91230900,704
2016-07-15,216.779999,217.009995,215.309998,215.830002,190.160782,107155400,705
2016-07-18,215.970001,216.600006,215.669998,216.410004,190.671829,58725900,706
2016-07-19,215.919998,216.229996,215.630005,216.190002,190.477997,54345700,707
2016-07-20,216.190002,217.369995,216.190002,217.089996,191.27092,58159500,708
2016-07-21,216.960007,217.220001,215.75,216.270004,190.548431,67777300,709
2016-07-22,216.410004,217.300003,216.100006,217.240005,191.403091,62787500,710
2016-07-25,217,217.059998,215.970001,216.649994,190.883224,55873100,711
2016-07-26,216.529999,217.169998,215.759995,216.75,190.971359,70080500,712
2016-07-27,217.190002,217.270004,215.619995,216.520004,190.768738,84083900,713
2016-07-28,216.289993,217.110001,215.75,216.770004,190.988983,65035700,714
2016-07-29,216.460007,217.539993,216.130005,217.119995,191.297379,79519400,715
2016-08-01,217.190002,217.649994,216.410004,216.940002,191.138794,73311400,716
2016-08-02,216.649994,216.830002,214.570007,215.550003,189.914093,92295500,717
2016-08-03,215.479996,216.25,215.130005,216.179993,190.469177,53993600,718
2016-08-04,216.309998,216.779999,214.25,216.410004,190.671829,46585500,719
2016-08-05,216.410004,218.229996,216.410004,218.179993,192.231323,71892200,720
2016-08-08,218.399994,218.520004,217.740005,218.050003,192.11676,39906500,721
2016-08-09,218.130005,218.759995,217.800003,218.179993,192.231323,51251700,722
2016-08-10,218.309998,218.399994,217.229996,217.639999,191.755539,57941100,723
2016-08-11,218.259995,218.940002,217.949997,218.649994,192.645386,72504300,724
2016-08-12,218.289993,218.710007,217.990005,218.460007,192.477997,61313500,725
2016-08-15,218.889999,219.5,218.880005,219.089996,193.033081,49813500,726
2016-08-16,218.600006,218.679993,217.960007,217.960007,192.037491,53213600,727
2016-08-17,218,218.529999,217.020004,218.369995,192.398651,75134300,728
2016-08-18,218.339996,218.899994,218.210007,218.860001,192.830414,52989300,729
2016-08-19,218.309998,218.75,217.740005,218.539993,192.548447,75443000,730
2016-08-22,218.259995,218.800003,217.830002,218.529999,192.539673,61368800,731
2016-08-23,219.25,219.600006,218.899994,218.970001,192.927399,53399200,732
2016-08-24,218.800003,218.910004,217.360001,217.850006,191.940521,71728900,733
2016-08-25,217.399994,218.190002,217.220001,217.699997,191.808365,69224800,734
2016-08-26,217.919998,219.119995,216.25,217.289993,191.447144,122506300,735
2016-08-29,217.440002,218.669998,217.399994,218.360001,192.389938,70502200,736
2016-08-30,218.259995,218.589996,217.350006,218,192.072678,58114500,737
2016-08-31,217.610001,217.75,216.470001,217.380005,191.526459,85269500,738
2016-09-01,217.369995,217.729996,216.029999,217.389999,191.535263,97844200,739
2016-09-02,218.389999,218.869995,217.699997,218.369995,192.398651,79293900,740
2016-09-06,218.699997,219.119995,217.860001,219.029999,192.980209,56702100,741
2016-09-07,218.839996,219.220001,218.300003,219.009995,192.962585,76554900,742
2016-09-08,218.619995,218.940002,218.149994,218.509995,192.522003,74102900,743
2016-09-09,216.970001,217.029999,213.25,213.279999,187.914108,221589100,744
2016-09-12,212.389999,216.809998,212.309998,216.339996,190.610107,168110900,745
2016-09-13,214.839996,215.149994,212.5,213.229996,187.870041,182828800,746
2016-09-14,213.289993,214.699997,212.5,213.149994,187.799469,134185500,747
2016-09-15,212.960007,215.729996,212.75,215.279999,189.676178,134427900,748
2016-09-16,213.479996,213.690002,212.570007,213.369995,188.942993,155236400,749
2016-09-19,214.130005,214.880005,213.029999,213.410004,188.978394,80250500,750
2016-09-20,214.410004,214.589996,213.380005,213.419998,188.987244,69665300,751
2016-09-21,214.240005,216.029999,213.440002,215.820007,191.112534,110284400,752
2016-09-22,217,217.529999,216.710007,217.179993,192.316742,76678700,753
2016-09-23,216.720001,216.880005,215.880005,215.990005,191.263077,73630900,754
2016-09-26,215.020004,215.229996,214.009995,214.240005,189.713379,89827300,755
2016-09-27,214.050003,215.679993,213.619995,215.570007,190.891174,78494800,756
2016-09-28,215.830002,216.820007,214.710007,216.639999,191.838608,87411000,757
2016-09-29,216.399994,216.869995,214.039993,214.679993,190.102997,128070600,758
2016-09-30,215.649994,217.119995,215.360001,216.300003,191.537582,117202900,759
2016-10-03,215.820007,216.039993,215.039993,215.779999,191.077072,83512100,760
2016-10-04,215.910004,216.169998,213.990005,214.679993,190.102997,119948100,761
2016-10-05,215.410004,216.130005,215.330002,215.630005,190.944244,72816000,762
2016-10-06,215.369995,216.039993,214.740005,215.779999,191.077072,62927400,763
2016-10-07,216.100006,216.300003,214.190002,215.039993,190.421799,89788300,764
2016-10-10,216.160004,216.699997,215.990005,216.160004,191.413574,51855000,765
2016-10-11,215.660004,215.740005,212.580002,213.429993,188.996124,130367400,766
2016-10-12,213.589996,214.320007,213.009995,213.710007,189.244064,73866100,767
2016-10-13,212.160004,213.589996,211.210007,213.009995,188.624176,101357000,768
2016-10-14,214.149994,214.690002,213.029999,213.119995,188.721619,93346200,769
2016-10-17,213.089996,213.389999,212.169998,212.380005,188.066299,58275700,770
2016-10-18,214.240005,214.309998,213.270004,213.710007,189.244064,76869700,771
2016-10-19,214.020004,214.639999,213.600006,214.279999,189.74881,66519200,772
2016-10-20,213.869995,214.529999,213.110001,213.880005,189.394623,73639800,773
2016-10-21,213.880005,214.080002,212.759995,213.979996,189.483154,89089100,774
2016-10-24,215,215.320007,214.479996,214.889999,190.288986,60146600,775
2016-10-25,214.679993,214.979996,213.979996,214.169998,189.651398,66542300,776
2016-10-26,213.210007,214.419998,212.929993,213.740005,189.27066,75705500,777
2016-10-27,214.580002,214.619995,213.080002,213.169998,188.765854,77220200,778
2016-10-28,213.139999,213.929993,211.710007,212.539993,188.208023,140623200,779
2016-10-31,212.929993,213.190002,212.360001,212.550003,188.216873,61272500,780
2016-11-01,212.929993,212.990005,209.600006,211.009995,186.853134,122781800,781
2016-11-02,210.649994,211.100006,209.229996,209.740005,185.728577,103330800,782
2016-11-03,209.990005,210.240005,208.460007,208.779999,184.878479,88939300,783
2016-11-04,208.910004,209.889999,208.380005,208.550003,184.674774,109122100,784
2016-11-07,208.550003,213.190002,208.550003,213.149994,188.748123,109794900,785
2016-11-08,212.690002,214.770004,212.380005,214.110001,189.598251,106772100,786
2016-11-09,212.369995,217.100006,212.339996,216.380005,191.608429,258429000,787
2016-11-10,217.300003,218.309998,215.220001,216.919998,192.086578,172113300,788
2016-11-11,216.080002,216.699997,215.320007,216.419998,191.643829,100552700,789
2016-11-14,217.029999,217.270004,215.720001,216.589996,191.794373,94580000,790
2016-11-15,217.039993,218.279999,216.800003,218.279999,193.290909,91652600,791
2016-11-16,217.559998,218.139999,217.419998,217.869995,192.927826,65617700,792
2016-11-17,218.050003,219.059998,217.919998,218.990005,193.919617,69797200,793
2016-11-18,219.070007,219.270004,218.289993,218.5,193.485703,86265800,794
2016-11-21,219.169998,220.179993,219,220.149994,194.946793,72402600,795
2016-11-22,220.509995,220.789993,219.729996,220.580002,195.327591,67429000,796
2016-11-23,219.979996,220.759995,219.75,220.699997,195.433823,56620200,797
2016-11-25,221.100006,221.559998,221.009995,221.520004,196.159973,37872300,798
2016-11-28,221.160004,221.479996,220.360001,220.479996,195.239029,76572500,799
2016-11-29,220.520004,221.440002,220.169998,220.910004,195.619797,69886700,800
2016-11-30,221.630005,221.820007,220.309998,220.380005,195.150513,113291800,801
2016-12-01,220.729996,220.729996,219.149994,219.570007,194.433212,79040500,802
2016-12-02,219.669998,220.25,219.259995,219.679993,194.530579,74840300,803
